adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie,annee_sortie,titre_normalise,nom_du_realisateur
False,,,100.0,Horror,,426625.0,,en,13,Twelve. Twelve. Twelve. Twelve. Twelve. Twelve. Twelve. Twelve. Thirteen.,0.6,,"Sickening Pictures, TurnStyle Films",United States of America,,0.0,2.0,,Canceled,,13,False,0.0,0.0,,,13,
False,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,,50000000.0,"War, Action, History, Drama",http://www.thirteenhoursmovie.com/,300671.0,tt4172430,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,57.498,/nAnfWdvUXQemns5BR0Azi4z9o1t.jpg,"Paramount, 3 Arts Entertainment, Bay Films, Latina Pictures, Dune Films","Malta, Morocco, United States of America",2016-01-14,69411370.0,144.0,"العربية, English",Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,False,7.273,3281.0,1.0,2016.0,13hoursthesecretsoldiersofbenghazi,['Michael Bay']
False,/6oVyb2vnpXbc3fD47Hepe0HJ9uw.jpg,,0.0,"Action, Drama, Thriller",,787723.0,tt9274670,en,13 Minutes,"As a new day begins in the small American town of Minninnewah, the residents start their day as ordinary as the next. Mother Nature, however, has other plans for them. Inhabitants have just 13 minutes to seek shelter before the largest tornado on record ravages the town, leaving them struggling to protect their loved ones and fighting for their lives. Left to deal with the aftermath, four families must overcome their differences and find strength in each other in order to survive.",21.13,/oKng4fEr4QgS869UuWLSjAsR2rz.jpg,"Elevated Films, Involving Pictures","United States of America, Canada",2021-10-29,67413.0,109.0,English,Released,Every second counts.,13 Minutes,False,6.0,161.0,10.0,2021.0,13minutes,['Lindsay Gossling']
False,,,0.0,"Thriller, Drama, Mystery",,1067849.0,tt5932490,en,13 Minutes,"Natasha doesn’t know how she ended up in the icy lake that night, but she was presumed dead for 13 minutes because of it. Turning to her old friend Becca, they decide to figure out what happened to her. They decide to investigate Natasha’s two closest right-hand friends, but surely they couldn’t have done it… right?",0.6,,Fake Empire Productions,,,0.0,0.0,,Released,I WAS DEAD FOR 13 MINUTES AND I WANT TO KNOW WHY.,13 Minutes,False,0.0,0.0,,,13minutes,
False,/67WVW36tcLYnY2ONzbxh7gEfohh.jpg,,5000000.0,"Horror, Thriller",,155084.0,tt2059171,en,13 Sins,"Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.",21.926,/x4tC1s6oFG9nEyxVSM0FiIsLea1.jpg,"Dimension Films, IM Global, Automatik Entertainment, Little Magic Films, Sahamongkol Film International, Blumhouse Productions",United States of America,2014-04-11,13809.0,93.0,English,Released,You don't play the game. It plays you.,13 Sins,False,6.274,1015.0,4.0,2014.0,13sins,['Daniel Stamm']
False,/lX27o3ccY11wAfOlQGGIDzCd6pO.jpg,,0.0,"Fantasy, Drama, Family",,40205.0,tt1646876,en,16 Wishes,"The story about Abby Jensen, a girl who's been eager to reach her 16th birthday and has kept a secret wish list since she was a little girl. When the Big Day actually arrives, utter disaster strikes, leaving Abby to think her birthday is ruined. But when a mysterious box of magical birthday candles arrives to turn things around, Abby's 16 Wishes start to come true. Her day gets better and better...until she makes one wish that threatens to change everything.",20.267,/tO8TZvH83uHtrLnec6f684xfzOB.jpg,MarVista Entertainment,United States of America,2010-10-02,0.0,90.0,English,Released,"Everyone's sweet 16 is special, Abby's is magical.",16 Wishes,False,6.305,1249.0,10.0,2010.0,16wishes,['Peter DeLuise']
False,/2WgieNR1tGHlpJUsolbVzbUbE1O.jpg,,100000000.0,"War, Action, Drama",https://www.1917.movie/,530915.0,tt8579674,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",49.006,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,"DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners","India, Spain, United Kingdom, United States of America",2019-12-25,394638258.0,119.0,"English, Français, Deutsch",Released,Time is the enemy,1917,False,7.993,11550.0,12.0,2019.0,1917,['Sam Mendes']
False,/wtCH8dPzp6r5e5pRNdzHc5bNmOB.jpg,2001 Maniacs Collection,500000.0,"Comedy, Horror",,40912.0,tt0858411,en,2001 Maniacs: Field of Screams,"When this year's round of unsuspecting Northerners fail to show up for their annual Guts N' Glory Jamboree, the residents of Pleasant Valley take their cannibalistic carnival on the road and head to Iowa where they encounter spoiled heiresses Rome &amp; Tina Sheraton and the cast and crew of their ""Road Rascals"" reality show. Performing ""The Bloodiest Show on Earth"", our Southern Maniacs prove more than ratings killers in what John Landis has called ""one of the rare sequels that surpasses the original"".",11.939,/p6mCYm4YtYXAam9dAwrwjRwklNB.jpg,,United States of America,2010-07-20,0.0,86.0,English,Released,"If They Kill You, They Will Come!",2001 Maniacs: Field of Screams,False,3.9,70.0,7.0,2010.0,2001maniacsfieldofscreams,['Tim Sullivan']
False,/krhVfJHf0Xslar1yzWg5tno5ie1.jpg,,0.0,"Action, Thriller",,63297.0,tt1823051,en,200 MPH,"When the older brother (Tommy Nash) he idolizes is run off the road by a ruthless drug dealer (Darren Thomas) during a nighttime street race known as Sepulveda Suicide, Rick Merchant (Jaz Martin) channels his grief into getting revenge behind the wheel. But to win, he’ll need to modify his trusty 1978 Datsun 280Z — with help from a pretty mechanic (Hennely Jimenez) — to get the maximum speed out of its machinery.",5.787,/9g13tPE0qeasLfOJeqPX7NFdQZN.jpg,The Asylum,United States of America,2011-04-26,0.0,90.0,English,Released,Some limits should never be crossed!,200 MPH,False,3.682,33.0,4.0,2011.0,200mph,['Cole S. McKay']
False,/gAza2rhFRLioz4gIgsuXs3BmFeE.jpg,,500000.0,"Action, Adventure",,50053.0,tt1694508,en,2010: Moby Dick,"That infamous whale is bigger, badder and a whole lot stronger in this sci-fi reimagining of Herman Melville’s classic tale of the battle between man, sea and sea creature starring “Xena” alum Rene O’Connor as the (traditionally male) narrator. But the boat — now a high-tech submarine — is also bigger, and Capt. Ahab is as determined as ever to settle the score and take down the mighty sea mammal that maimed him.",11.238,/nlH84l2lVZ7voCBZgDywJCGGHgX.jpg,The Asylum,United States of America,2010-11-23,0.0,87.0,English,Released,Herman Melville's classic tale retold.,2010: Moby Dick,False,3.0,62.0,11.0,2010.0,2010mobydick,['Trey Stokes']
False,/pAUO3y3TgTbkitpRflpuQJFsPLj.jpg,,250000.0,"Action, Adventure, Science Fiction",,59722.0,tt1846444,en,2012: Ice Age,"A volcanic eruption in Iceland sends a glacier towards North America, causing everything in it's path to freeze. A family man struggles to escape the onslaught of the coming ice age.",15.513,/axj9DrtSXe3yxXogoeU0BL40nN5.jpg,,United States of America,2011-06-27,0.0,91.0,English,Released,A World Frozen Over ... A Family Torn Apart.,2012: Ice Age,False,4.5,263.0,6.0,2011.0,2012iceage,"['Trey Stokes', 'Travis Fort']"
False,/nYvo44NbyBVOBO1fleUsO3IIeRQ.jpg,,0.0,,,594411.0,tt11137734,ru,2050,The future has come and it seems cold-callers are not just a thing of the past and they are just as unwelcome.,0.6,/eorRxiqTzj2U5fi61u6GUf9yf5n.jpg,Kulik Production,Russia,2019-04-21,0.0,4.0,Pусский,Released,,2050,False,0.0,0.0,4.0,2019.0,2050,['Alexandra Lupashko']
False,/eoc2P3qH6CkDX56c68PZaDZ6Xnb.jpg,,0.0,"Drama, Science Fiction, Comedy, TV Movie",http://www.2050movie.com,583911.0,tt1458902,en,2050,A family man struggling to hold it all together discovers a parlor that offers a solution...sexbots.,8.481,/cSKXdkm38HIMsZZNYJDIOtfOV9B.jpg,Butterfly Chasers LLC,United States of America,2019-03-01,0.0,104.0,"Español, English",Released,Customize your lover,2050,False,4.6,28.0,3.0,2019.0,2050,['Princeton Holt']
False,/5eZ8kRSlD8P8a42y9GEGl1yAqOb.jpg,,7000000.0,Drama,http://www.20thcenturywomen-movie.com/,342737.0,tt4385888,en,20th Century Women,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",18.607,/mso2rEr9i0MilRIOao5HaWFipS9.jpg,"Annapurna Pictures, Archer Gray, Modern People",United States of America,2016-12-28,5664764.0,119.0,English,Released,,20th Century Women,False,7.352,1072.0,12.0,2016.0,20thcenturywomen,['Mike Mills']
False,/7eTWQb475pM9H3NEOiUzGYASEx0.jpg,,0.0,"Crime, Action, Thriller",,500919.0,tt4976192,en,211,"Inspired by one of the longest and bloodiest real-life events in police history, Officer Mike Chandler and a young civilian passenger find themselves under-prepared and outgunned when fate puts them squarely in the crosshairs of a daring bank heist in progress by a fearless team of highly-trained and heavily-armed men.",24.829,/81RColr4rau6DZ7z9eMsksokcfk.jpg,"Millennium Media, Nu Image Bulgaria, 211 Productions",United States of America,2018-05-30,1052222.0,86.0,English,Released,Your life can change in an instant.,211,False,5.4,415.0,5.0,2018.0,211,['York Alec Shackleton']
False,/5KmhjlR5CEarB8mKtpjcjHRYIu9.jpg,,33000000.0,"Crime, Action, Drama",https://www.21bridges.movie,535292.0,tt8688634,en,21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",24.426,/kDlmrGZROewneCoSwPjKx6Qfown.jpg,"AGBO, MWM Studios, Huayi Brothers Pictures, Universal Pictures",United States of America,2019-10-24,49939757.0,99.0,English,Released,The only way out is through him,21 Bridges,False,6.758,1810.0,10.0,2019.0,21bridges,['Brian Kirk']
False,/lxCUDgZ54myV7goBrkpFoHRt9Ms.jpg,Jump Street Collection,42000000.0,"Action, Comedy, Crime",http://www.21jumpstreet-movie.com/,64688.0,tt1232829,en,21 Jump Street,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",38.214,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,"Columbia Pictures, Relativity Media, Original Film, Metro-Goldwyn-Mayer",United States of America,2012-03-14,201600000.0,109.0,English,Released,The only thing getting blown tonight is their cover.,21 Jump Street,False,6.9,9763.0,3.0,2012.0,21jumpstreet,"['Phil Lord', 'Christopher Miller']"
False,/bGePh6CyZIzrueokpvyijWeBZ4X.jpg,,13000000.0,Comedy,,107811.0,tt1711425,en,21 & Over,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",25.346,/noB71pnF8jz2IIP1LeilfnaaO2F.jpg,"Mandeville Films, Relativity Media, SkyLand Entertainment, Virgin Produced",United States of America,2013-03-01,48065672.0,93.0,English,Released,Finally.,21 & Over,False,5.8,1447.0,3.0,2013.0,21over,"['Jon Lucas', 'Scott Moore']"
False,/1HoDcETfVD3AjcmWxcCVwu5MGj8.jpg,,0.0,"Science Fiction, Mystery, Thriller, Romance",,269795.0,tt1131724,en,2:22,"Two planes almost collide after a blinding flash of light paralyzes air traffic controller Dylan Branson for a few seconds. Suspended from his job, Dylan starts to notice an ominous pattern of sounds and events that repeats itself in exactly the same manner every day, ending precisely at 2:22 p.m. Also drawn into a complex relationship with a woman, Dylan must figure out a way to break the power of the past and take control of time itself.",26.053,/rj0h3RnKX5CB8X5UE1PfpMSV4MP.jpg,"Screen Australia, Lightstream Pictures, Wild Eddie, 2929 Productions, Screen NSW, Ingenious Media, Good Universe","Australia, United Kingdom, United States of America",2017-06-29,3945729.0,99.0,English,Released,"To save their future, he must fight his fate.",2:22,False,6.0,1354.0,6.0,2017.0,222,['Paul Currie']
False,/rKzHtW1bdboA89FwiyRBNTY7edc.jpg,,20000000.0,"History, Drama, Thriller, Crime",https://www.netflix.com/title/80210932,474354.0,tt7280898,en,22 July,"On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved.",34.875,/rd940KzuIZwbdOvOUF7XDTzn8te.jpg,Scott Rudin Productions,"Iceland, Norway, United States of America",2018-10-04,0.0,143.0,English,Released,The true story of a day that started like any other,22 July,False,7.098,1102.0,10.0,2018.0,22july,['Paul Greengrass']
False,/kdyYOwpKvvD2fSbwfnMM2YPAzfq.jpg,Jump Street Collection,50000000.0,"Crime, Comedy, Action",http://www.22jumpstreetmovie.com,187017.0,tt2294449,en,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",37.099,/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,"Columbia Pictures, Original Film, MRC, LStar Capital, Metro-Goldwyn-Mayer, Stephen J. Cannell Productions, 75 Year Plan Productions, Storyville Films, JHF Productions",United States of America,2014-06-05,331300000.0,112.0,English,Released,They're not 21 anymore,22 Jump Street,False,6.84,7538.0,6.0,2014.0,22jumpstreet,"['Phil Lord', 'Christopher Miller']"
False,/jGjFwizX2YYoUOJkCymlfvS8aGp.jpg,,0.0,"Action, Science Fiction, Thriller, Mystery",,470114.0,tt5442456,en,24 Hours To Live,An assassin seeks redemption after being given a second chance at life.,23.332,/w0MXP33x1bq48TDC7IaNqQ8nxcc.jpg,"Thunder Road, Fundamental Films, Film Afrika","United States of America, South Africa, China",2017-10-26,5800000.0,94.0,English,Released,Contracted to kill. Fighting to survive.,24 Hours to Live,False,6.0,601.0,10.0,2017.0,24hourstolive,['Brian Smrz']
False,/m65Wy85rsYVFPw56kgGiKE9b4Yb.jpg,,61000000.0,"Action, Comedy, Crime",,136400.0,tt1272878,en,2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,46.27,/ptURGAFktibhk7DEAbMazlmNqWa.jpg,"Universal Pictures, Marc Platt Productions, EFO Films, Envision Entertainment, Foresight Unlimited, Oasis Entertainment, Herrick Entertainment, BOOM! Studios, Empyre Media Capital",United States of America,2013-08-02,131940411.0,109.0,"Español, English",Released,"2 Guns, 1 Bank.",2 Guns,False,6.5,3869.0,8.0,2013.0,2guns,['Baltasar Kormákur']
False,/ihRhARJBrq3FRQNf6u0Ko99GjVd.jpg,2-Headed Shark Attack Collection,0.0,"Horror, Action, Science Fiction, Comedy",http://newsite.theasylum.cc/index.php/titles/detail?id=95546c3a-0ced-e311-80c1-782bcb56fee6,86703.0,tt2043757,en,2-Headed Shark Attack,"A Semester at Sea ship is attacked and sunk by a mutated two-headed shark, and the survivors seek refuge on a deserted atoll. The coeds, however, are no longer safe when the atoll starts flooding.",19.858,/elKZZhpc6fVFgMFPZaVAC4l1JdM.jpg,The Asylum,United States of America,2012-06-26,0.0,90.0,"English, Türkçe, Español",Released,"1 Body, 2 Heads and 6,000 Teeth",2-Headed Shark Attack,False,4.452,259.0,6.0,2012.0,2headedsharkattack,['Christopher Ray']
False,/sSalNFInZxGi0bmmIKJoDz5jI6n.jpg,,0.0,"Romance, Drama",https://www.2heartsthefilm.com/,710356.0,tt5616176,en,2 Hearts,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",25.019,/a7bW3uKOMPBnmHs8gnlpfhTD8YQ.jpg,Silver Lion Films,United States of America,2020-10-16,0.0,100.0,English,Released,Discover the mystery that connects them all.,2 Hearts,False,7.44,523.0,10.0,2020.0,2hearts,['Lance Hool']
False,/Admlp6IYUI9UJEx451dvGldK7Mh.jpg,300 Collection,110000000.0,"Action, Drama, War",http://www.300themovie.com/,53182.0,tt1253863,en,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",61.176,/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,"Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",United States of America,2014-03-05,337580051.0,102.0,English,Released,Seize your glory!,300: Rise of an Empire,False,6.097,6141.0,3.0,2014.0,300riseofanempire,['Noam Murro']
