Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,mois_sortie,annee_sortie,titre_normalise,nom_du_realisateur
Posledniy bogatyr,,2.7,258863,,2016-02-01,100.0,,17.0,6.0,2.0,2016.0,posledniybogatyr,"De
Dmitriy Dyachenko"
Charming,,2.1,235669,,2018-12-13,85.0,,63.0,5.0,12.0,2018.0,charming,"De
Ross Venokur"
Fist Fight,,2.0,239320,23446175.0,2017-05-30,91.0,,268.0,18.0,5.0,2017.0,fistfight,"De
Richie Keen"
How To Be a Latin Lover,,2.8,247225,29309990.0,2017-08-07,115.0,,56.0,8.0,8.0,2017.0,howtobealatinlover,"De
Ken Marino"
The Incredible Jessica James,,2.8,252440,,2020-12-01,85.0,,96.0,7.0,12.0,2020.0,theincrediblejessicajames,"De
Jim Strouse"
Altitude,,1.4,254403,,2021-05-09,88.0,,102.0,16.0,5.0,2021.0,altitude,"De
Alex Merkin"
Diary Of A Wimpy Kid: The Long Haul,,2.0,249223,17894397.0,2017-12-01,91.0,,105.0,10.0,12.0,2017.0,diaryofawimpykidthelonghaul,"De
David Bowers"
Unforgettable,,2.1,240568,9150960.0,2017-08-08,100.0,,215.0,16.0,8.0,2017.0,unforgettable,"De
Denise Di Novi"
The Strange Ones,3.3,3.1,252176,8996.0,2018-07-11,81.0,16.0,258.0,42.0,7.0,2018.0,thestrangeones,"De
Christopher Radcliff,
Lauren Wolkstein"
The Heart of Man (Fathom),,3.1,257693,14280.0,2018-11-15,75.0,,36.0,13.0,11.0,2018.0,theheartofmanfathom,"De
Eric Esau"
Handsome: A Netflix Mystery Movie,,2.0,254497,,2020-04-10,80.0,,74.0,10.0,4.0,2020.0,handsomeanetflixmysterymovie,"De
Jeff Garlin"
Starship Troopers: Traitor Of Mars,,2.3,256746,,2017-09-17,85.0,,179.0,27.0,9.0,2017.0,starshiptrooperstraitorofmars,"De
Shinji Aramaki,
Masaru Matsumoto"
The Layover,,1.8,236530,,2018-03-06,88.0,,199.0,9.0,3.0,2018.0,thelayover,"De
William H. Macy"
