Titre original,Note presse,Note spectateur,id allocine,Réalisateur,date,duree_minutes,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,Nombre_de_critiques_presse,mois_sortie_x,annee_sortie_x,titre_normalise,nom_du_realisateur_bis,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie_y,annee_sortie_y,nom_du_realisateur
Warcraft,2.6,3.5,129526,Duncan Jones,2016-05-25,124.0,18694.0,988.0,11.0,5.0,2016.0,warcraft,duncanjones,False,/aTGvZ3F8QnAD8cPpJRaaqRRxFK6.jpg,,160000000.0,"Action, Adventure, Fantasy",http://www.warcraft-themovie.com/,68735.0,tt0803096,en,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",55.619,/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg,"Legendary Pictures, Universal Pictures, Atlas Entertainment, Blizzard Entertainment, Tencent Pictures, Fuji Television Network, dentsu, Huayi Brothers Pictures, Taihe Entertainment","China, Japan, Canada, United States of America",2016-05-25,433677183.0,123.0,English,Released,Two worlds. One home.,Warcraft,False,6.371,6434.0,5.0,2016.0,Duncan Jones
War Dogs,3.4,3.8,196253,Todd Phillips,2016-09-14,115.0,6394.0,297.0,23.0,9.0,2016.0,wardogs,toddphillips,False,/3Mnbw4gOYz5BNZB9PhZ2cyBSQum.jpg,,40000000.0,"Comedy, Crime, Drama",http://www.wardogsthemovie.com/,308266.0,tt2005151,en,War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",32.195,/uH9qGH5XS1iZXCSb3tgu40dxQoh.jpg,"The Mark Gordon Company, Green Hat Films, Joint Effort, Warner Bros. Pictures",United States of America,2016-08-18,86234523.0,114.0,"shqip, English, العربية, Română",Released,An American dream,War Dogs,False,6.907,4584.0,8.0,2016.0,Todd Phillips
War For The Planet Of The Apes,3.7,4.0,226244,Matt Reeves,2017-08-02,140.0,24746.0,955.0,29.0,8.0,2017.0,warfortheplanetoftheapes,mattreeves,False,/ulMscezy9YX0bhknvJbZoUgQxO5.jpg,Planet of the Apes (Reboot) Collection,150000000.0,"Drama, Science Fiction, War",http://www.foxmovies.com/movies/war-for-the-planet-of-the-apes,281338.0,tt3450958,en,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",59.291,/mMA1qhBFgZX8O36qPPTC016kQl1.jpg,"20th Century Fox, TSG Entertainment, Chernin Entertainment","Canada, United States of America, New Zealand",2017-07-11,490719763.0,140.0,English,Released,For freedom. For family. For the planet.,War for the Planet of the Apes,False,7.166,8177.0,7.0,2017.0,Matt Reeves
War Horse,3.5,3.9,176676,Steven Spielberg,2012-02-22,147.0,7142.0,961.0,30.0,2.0,2012.0,warhorse,stevenspielberg,False,/tcx15vswrQJCGET5lGxESQ4J5LG.jpg,,66000000.0,"War, History, Drama, Adventure",http://www.warhorsemovie.com/,57212.0,tt1568911,en,War Horse,"On the brink of the First World War, Albert's beloved horse Joey is sold to the Cavalry by his father. Against the backdrop of the Great War, Joey begins an odyssey full of danger, joy, and sorrow, and he transforms everyone he meets along the way. Meanwhile, Albert, unable to forget his equine friend, searches the battlefields of France to find Joey and bring him home.",21.759,/nF66DU2zPLFb9CxDQNSNX2RgNaq.jpg,"DreamWorks Pictures, Reliance Entertainment, Amblin Entertainment, The Kennedy/Marshall Company","India, United States of America",2011-12-25,177584879.0,146.0,English,Released,Separated by war. Tested by battle. Bound by friendship.,War Horse,False,7.307,3202.0,12.0,2011.0,Steven Spielberg
War Machine,2.8,2.5,228339,David Michôd,2020-04-28,122.0,2959.0,76.0,4.0,4.0,2020.0,warmachine,davidmichod,False,/jFDHwsTPrhIbXkPkwJGU3EORmPo.jpg,,60000000.0,"Comedy, Drama, War",https://www.netflix.com/title/80068327,354287.0,tt4758646,en,War Machine,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.,15.392,/bU2Q2rCH5VFrJNKSyx6wSmQZFsX.jpg,Plan B Entertainment,United States of America,2017-05-26,0.0,122.0,"پښتو, English",Released,We're gonna liberate the sh** out of you.,War Machine,False,5.579,1060.0,5.0,2017.0,David Michôd
Warm Bodies,3.3,3.6,190969,Jonathan Levine,2013-03-20,97.0,6905.0,836.0,18.0,3.0,2013.0,warmbodies,jonathanlevine,False,/d2nWERbNIKA9dBDWbRReK0cRBD4.jpg,,35000000.0,"Horror, Comedy, Romance",,82654.0,tt1588173,en,Warm Bodies,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",40.421,/pvVpl38YOBDOANb0pWbXFb8X3iZ.jpg,"Summit Entertainment, Mandeville Films, Lionsgate","United States of America, Canada",2013-01-31,117000000.0,97.0,English,Released,Cold body. Warm heart.,Warm Bodies,False,6.446,5816.0,1.0,2013.0,Jonathan Levine
War of the Dead,,1.3,198901,Marko Mäkilaakso,2012-12-13,86.0,95.0,27.0,,12.0,2012.0,warofthedead,markomakilaakso,False,/fjGEAM5ozUznhOUyx5Q8DXCpkdU.jpg,,0.0,"Horror, Action, Adventure",,77068.0,tt0780645,en,War of the Dead,"Captain Martin Stone is leading a finely-trained, elite platoon of Allied soldiers as they attack an enemy bunker. Underestimating their enemy's strength, they are quickly beaten back into the forest. As they try to regroup, they are suddenly attacked by the same soldiers they had just killed a few minutes earlier. Forced to flee deeper into Russian territory, they discover one of war's most terrifying secrets and realize they have woken up a far more deadlier enemy.",5.604,/gYT0qHKT4b9GQ5AKgzErq9k7ZL7.jpg,Momentum Films,"United States of America, Lithuania, Italy",2011-10-22,0.0,86.0,"English, Français",Released,What Killed Them Made Them Stronger,War of the Dead,False,4.2,61.0,10.0,2011.0,Marko Mäkilaakso
War Pigs,,2.2,238052,Ryan Little,2015-10-05,101.0,69.0,12.0,,10.0,2015.0,warpigs,ryanlittle,False,/qt78zvlpXqNiiy090ggqe7cWuFU.jpg,,0.0,"War, Action",,348811.0,tt3779300,en,War Pigs,A rag tag unit of misfits known as the War Pigs must go behind enemy lines to exterminate Nazis by any means necessary.,13.886,/lMBrFrd1ETTfE1FMsJbEfuT2qH0.jpg,"Schuetzle Company Productions, VMI Worldwide, Verdi Productions, The Fyzz",United States of America,2015-08-03,0.0,92.0,English,Released,Victory is the only option,War Pigs,False,4.9,105.0,8.0,2015.0,Ryan Little
Warrior,3.6,4.3,138673,Gavin O'Connor,2011-09-14,140.0,9894.0,938.0,20.0,9.0,2011.0,warrior,gavinoconnor,False,/1PnRPz4A4AguUEVOTcprIyctrax.jpg,,25000000.0,"Drama, Action",,59440.0,tt1291584,en,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",36.909,/iM8n4nZJPR2abpnyZ36FUgHiRjr.jpg,"Lionsgate, Mimran Schur Pictures, Solaris Film, Filmtribe",United States of America,2011-09-09,23300000.0,140.0,English,Released,Family is worth fighting for.,Warrior,False,7.842,4236.0,9.0,2011.0,Gavin O'Connor
War Room,,3.6,236640,Alex Kendrick,2016-06-01,120.0,155.0,23.0,,6.0,2016.0,warroom,alexkendrick,False,/oCCvZEbqCCcALQtah8HJm9Ja4HT.jpg,,3000000.0,"Drama, Romance",http://warroomthemovie.com/,323272.0,tt3832914,en,War Room,"The family-friendly movie explores the transformational role prayer plays in the lives of the Jordan family. Tony and Elizabeth Jordan, a middle-class couple who seemingly have it all – great jobs, a beautiful daughter, their dream home. But appearances can be deceiving. In reality, the Jordan’s marriage has become a war zone and their daughter is collateral damage. With the help of Miss Clara, an older, wiser woman, Elizabeth discovers she can start fighting for her family instead of against them. Through a newly energized faith, Elizabeth and Tony’s real enemy doesn’t have a prayer.",31.178,/unxQeVUi5DH01r7ZNvAHwpvX7UK.jpg,"FaithStep Films, Affirm Films, Provident Films, Red Sky Studios, TriStar Pictures",United States of America,2015-08-28,67790117.0,120.0,"English, Italiano",Released,Prayer is a Powerful Weapon,War Room,False,7.793,447.0,8.0,2015.0,Alex Kendrick
