Titre original,Note presse,Note spectateur,id allocine,Réalisateur,date,duree_minutes,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,Nombre_de_critiques_presse,mois_sortie_x,annee_sortie_x,titre_normalise,nom_du_realisateur_bis,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie_y,annee_sortie_y,nom_du_realisateur
Gerald's Game,,2.7,228998,Mike Flanagan,2017-09-29,103.0,1347.0,115.0,,9.0,2017.0,geraldsgame,mikeflanagan,False,/t9HChjSJi8B1PXSVh5Ec3pcDsAM.jpg,,0.0,"Horror, Thriller",https://www.netflix.com/title/80128722,343674.0,tt3748172,en,Gerald's Game,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",22.487,/32dippiypDdaKv7XFEfUlQ7kPup.jpg,Intrepid Pictures,United States of America,2017-09-29,0.0,104.0,English,Released,Some games you play. Some you survive.,Gerald's Game,False,6.398,3419.0,9.0,2017.0,Mike Flanagan
Gernika,,2.4,236283,Koldo Serra,2016-08-01,110.0,46.0,7.0,,8.0,2016.0,gernika,koldoserra,False,/f6zDxtrVr3bWKoxcr0SEbdMJz6a.jpg,,6229577.0,"Drama, War, Romance",http://www.sonypictures.com/movies/guernica/,363841.0,tt2556114,es,Gernika,"The fates of Henry - an American correspondent - and Teresa, one of the Republic's censors during the Spanish Civil War.",9.278,/xngfVEXUvtWHzYbrARHNTi51JeK.jpg,"Pterodactyl Productions, Pecado Films, Travis Producciones, Sayaka Producciones Audiovisuales, Gernika The Movie, Anima Pictures",Spain,2016-04-26,0.0,110.0,"English, euskera, Español, Deutsch",Released,In love and war the first casualty is truth,Guernica,False,5.7,105.0,4.0,2016.0,Koldo Serra
Get A Job,,2.2,102257,Dylan Kidd,2017-08-18,82.0,280.0,11.0,,8.0,2017.0,getajob,dylankidd,False,/1vwlKZbXstFlaeobdPlT0oaMYhs.jpg,,8000000.0,"Drama, Comedy",,186759.0,tt1468846,en,Get a Job,"Life after college graduation is not exactly going as planned for Will and Jillian who find themselves lost in a sea of increasingly strange jobs. But with help from their family, friends and coworkers they soon discover that the most important (and hilarious) adventures are the ones that we don't see coming.",13.813,/sGjY8GRSY36hzWMK8tPCmA8XJIg.jpg,"CBS Films, Double Features Films, Granville Pictures",United States of America,2016-03-17,0.0,83.0,English,Released,Graduating was the easy part.,Get a Job,False,5.347,621.0,3.0,2016.0,Dylan Kidd
Getaway,,2.1,207526,Courtney Solomon,2015-01-06,90.0,524.0,70.0,,1.0,2015.0,getaway,courtneysolomon,False,/7FmaBXCV2CS6pQn6g6irigk5c6J.jpg,,18000000.0,"Action, Crime",http://www.getawaymovie.com/,146227.0,tt2167202,en,Getaway,"Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",13.574,/z4sEWm1ykf9WX5WJU4XMD4oI5sI.jpg,"Saints LA, Dark Castle Entertainment, After Dark Films, Signature Pictures, Silver Reel, Dunulf Productions, Emmitt Productions Limited, The Fyzz, ADF Acquisitions, Bomar OOD","Bulgaria, United States of America",2013-08-29,10501938.0,90.0,English,Released,Get in. Get out. Getaway.,Getaway,False,5.051,583.0,8.0,2013.0,Courtney Solomon
Get Hard,,2.6,216632,Etan Cohen,2015-11-04,100.0,903.0,56.0,,11.0,2015.0,gethard,etancohen,False,/7y3fMT8nQDH0J9ESQNilz8V1QWO.jpg,,40000000.0,Comedy,,257091.0,tt2561572,en,Get Hard,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",26.401,/rJPbS2cYOYhDCjT5NmW1Fm6gFl3.jpg,"Gary Sanchez Productions, Warner Bros. Pictures",United States of America,2015-03-26,111800000.0,100.0,English,Released,An education in incarceration.,Get Hard,False,6.013,2548.0,3.0,2015.0,Etan Cohen
Get Him to the Greek,3.2,2.8,135821,Nicholas Stoller,2010-09-01,109.0,1860.0,240.0,11.0,9.0,2010.0,gethimtothegreek,nicholasstoller,False,/99XKAb7zFAKDogB0DYl87bA9Hi1.jpg,,40000000.0,"Adventure, Comedy, Music",,32823.0,tt1226229,en,Get Him to the Greek,"Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.",16.849,/6g0li87w8LIK77QRUtOkQkM6bD7.jpg,"Apatow Productions, Universal Pictures, Relativity Media, Spyglass Entertainment",United States of America,2010-06-03,90029656.0,109.0,English,Released,Aaron Green has 72 hours to get a rock star from London to L.A. Pray for him..,Get Him to the Greek,False,5.964,1642.0,6.0,2010.0,Nicholas Stoller
Get On Up,3.1,3.5,125174,Tate Taylor,2014-09-24,139.0,1464.0,151.0,21.0,9.0,2014.0,getonup,tatetaylor,False,/j3qoYRsQueTCvFhOVakVNhqmxRW.jpg,,30000000.0,"Drama, Music",,239566.0,tt2473602,en,Get on Up,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,14.781,/dVbGeU5agxFGcJnL5hk4uO8W7i2.jpg,"Jagged Films, Imagine Entertainment, Universal Pictures",United States of America,2014-08-01,33448971.0,139.0,English,Released,The Funk Don't Quit,Get on Up,False,6.765,486.0,8.0,2014.0,Tate Taylor
Get Out,4.0,4.0,241160,Jordan Peele,2017-05-03,104.0,25098.0,1160.0,26.0,5.0,2017.0,getout,jordanpeele,False,/o8dPH0ZSIyyViP6rjRX1djwCUwI.jpg,,4500000.0,"Mystery, Thriller, Horror",http://www.getoutfilm.com/,419430.0,tt5052448,en,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",52.478,/DaDh4SXcJHHDvdMCpng2M95r8s.jpg,"Monkeypaw Productions, Blumhouse Productions, QC Entertainment",United States of America,2017-02-24,255407969.0,104.0,English,Released,"Just because you're invited, doesn't mean you're welcome.",Get Out,False,7.617,16347.0,2.0,2017.0,Jordan Peele
Get the Gringo,,3.0,105104,Adrian Grunberg,2012-10-16,92.0,1061.0,141.0,,10.0,2012.0,getthegringo,adriangrunberg,False,/7UjEgarkL9pKjXbJDfxx85Ws0ur.jpg,,35000000.0,"Action, Thriller, Crime, Drama",,80389.0,tt1567609,en,Get the Gringo,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a 9-year-old boy.,47.855,/v43pBEbRILw2CylmaC170kjY2DN.jpg,Icon Productions,United States of America,2012-03-15,0.0,96.0,"English, Español",Released,The odds are against him. So is everyone else.,Get the Gringo,False,6.543,1520.0,3.0,2012.0,Adrian Grünberg
Ghostbusters,2.6,2.1,126155,Paul Feig,2016-08-10,117.0,5161.0,558.0,33.0,8.0,2016.0,ghostbusters,paulfeig,False,/3RWsSQlqzRjsuqSRmoyggy74UA7.jpg,,144000000.0,"Action, Fantasy, Comedy",http://www.ghostbusters.com/,43074.0,tt1289401,en,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",43.732,/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,"Ghost Corps, Columbia Pictures, Village Roadshow Pictures, LStar Capital, Feigco Entertainment, Pascal Pictures, The Montecito Picture Company",United States of America,2016-07-14,229147509.0,117.0,English,Released,Who You Gonna Call?,Ghostbusters,False,5.371,6046.0,7.0,2016.0,Paul Feig
Ghost House,,1.8,254212,Rich Ragsdale,2019-03-05,89.0,153.0,22.0,,3.0,2019.0,ghosthouse,richragsdale,False,/xNgW11k2bDkX7ehXvSD6UMEwVHN.jpg,,0.0,"Horror, Thriller, Mystery",,359228.0,tt4365566,en,Ghost House,A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House.,9.971,/gTnxcpzZYcqFVsAXdPwSOs5bjgg.jpg,"Benetone Films, KNR Productions, Benetone Hillin Entertainment","United States of America, Thailand",2017-07-21,0.0,92.0,"ภาษาไทย, English",Released,Leave it alone,Ghost House,False,5.7,184.0,7.0,2017.0,Rich Ragsdale
Ghost In The Shell,3.0,3.3,226739,Rupert Sanders,2017-03-29,107.0,9222.0,720.0,26.0,3.0,2017.0,ghostintheshell,rupertsanders,False,/dDVqfmCzSy3TKSmiS2pJ9QB5E3P.jpg,,110000000.0,"Science Fiction, Drama, Action",http://www.ghostintheshellmovie.com/,315837.0,tt1219827,en,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",45.145,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,"Weying Galaxy Entertainment, Paramount, Shanghai Film Group, Reliance Entertainment, Grosvenor Park Productions, Steven Paul Production, Huahua Media, Seaside Entertainment, DreamWorks Pictures, Arad Productions","China, Hong Kong, India, United States of America",2017-03-29,169801921.0,107.0,"日本語, English",Released,There's nothing sadder than a puppet without a ghost.,Ghost in the Shell,False,6.065,7659.0,3.0,2017.0,Rupert Sanders
Ghost Shark,,1.4,222769,Griff Furst,2014-11-18,87.0,91.0,15.0,,11.0,2014.0,ghostshark,grifffurst,False,/8LoYHmYgrFno4lddbqKAtxJI6X5.jpg,Ghost Shark Collection,0.0,"Horror, Science Fiction",,216539.0,tt2600742,en,Ghost Shark,A coastal town is plagued by a supernatural man-eating shark. A ghost hunter joins forces with a sea captain to uncover the secrets of the area's dark past and find a way to exorcise the spectral predator.,11.424,/gydvWMOAUWFd3znJU58rxuZnvkW.jpg,Active Entertainment,United States of America,2013-08-22,0.0,84.0,English,Released,,Ghost Shark,False,5.1,135.0,8.0,2013.0,Griff Furst
Ghoul,,1.6,215707,Gregory Wilson,2014-10-21,80.0,41.0,15.0,,10.0,2014.0,ghoul,gregorywilson,False,/1UzE3OecfWHhimvy4i0LFHQOeK4.jpg,,0.0,"Thriller, TV Movie",http://www.chillertv.com/movies/ghoul,104709.0,tt1877647,en,Ghoul,"In the tradition of Stephen King’s Stand by Me, Chiller’s original film Ghoul – based on the celebrated novel by author Brian Keene — tells the story of three damaged children who set out to find who, or what, is behind a rash of local disapperances. Staring Modern Family‘s Nolan Gould, the film explores the darkness that hides behind small town life. It is the summer of 1984 when a teenage couple goes missing among the gravestones of the local cemetery. Twelve-year-old Timmy and his best friends, Barry and Doug, have grown up hearing stories about a sinister Ghoul that haunts the cemetery. Eventually, they begin to wonder if the horrific legend might actually be real. Timmy and his friends are forced to put their friendship to the ultimate test when they dig up long-buried secrets, facing their personal demons and the one hiding underground.",4.864,/z5Rn3DmIlTGvfIMnkb8g0kngp8d.jpg,Chiller Films,United States of America,2012-04-13,0.0,80.0,English,Released,No Body Rest In Peace,Ghoul,False,4.2,16.0,4.0,2012.0,Gregory Wilson
Gifted,2.6,4.2,240263,Marc Webb,2017-09-13,101.0,4120.0,239.0,19.0,9.0,2017.0,gifted,marcwebb,False,/gYtXT7fJNBRZBbBulO11DoRveLT.jpg,,7000000.0,"Drama, Comedy",http://www.foxsearchlight.com/gifted/,400928.0,tt4481414,en,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",41.209,/7YB2YrMwIm1g8FyZtlvmVDfRnAT.jpg,"Grade A Entertainment, Dayday Films, FilmNation Entertainment, Fox Searchlight Pictures",United States of America,2017-04-12,40300000.0,101.0,English,Released,,Gifted,False,8.042,5075.0,4.0,2017.0,Marc Webb
G.I. Joe: Retaliation,2.5,2.4,170252,Jon M. Chu,2013-03-27,110.0,6996.0,705.0,11.0,3.0,2013.0,gijoeretaliation,jonmchu,False,/pEhXq18GVe1dg2ltplcxtGWfSje.jpg,G.I. Joe (Live-Action) Collection,130000000.0,"Science Fiction, Adventure, Action, Thriller",http://www.gijoemovie.com,72559.0,tt1583421,en,G.I. Joe: Retaliation,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",33.067,/3rWIZMzTKcCtV0eHJ70Z4Ru659f.jpg,"Paramount, Hasbro, di Bonaventura Pictures, Saints LA, Metro-Goldwyn-Mayer, Skydance","Canada, United States of America",2013-03-27,371900000.0,110.0,English,Released,,G.I. Joe: Retaliation,False,5.616,5261.0,3.0,2013.0,Jon M. Chu
Gimme Shelter,1.2,2.9,193548,Ron Krauss,2014-10-29,101.0,161.0,37.0,6.0,10.0,2014.0,gimmeshelter,ronkrauss,False,/hTUveXKSPA7jWZ08MaXaHSvY6lO.jpg,,7500000.0,Drama,,232175.0,tt1657510,en,Gimme Shelter,"After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that she's pregnant.",8.646,/mMrkYMy0FXYkfLGoJnhPjn8PedO.jpg,"Day Twenty- Eight Films, Rishon Films",United States of America,2013-10-17,1359910.0,101.0,English,Released,Sometimes you have to leave home to find your family.,Gimme Shelter,False,6.6,225.0,10.0,2013.0,Ron Krauss
Gimme the Loot,3.6,2.9,203507,Adam Leon,2013-01-02,81.0,216.0,26.0,16.0,1.0,2013.0,gimmetheloot,adamleon,False,/hDqCT55tKH5qEWoI6DsNNaboy3S.jpg,,0.0,"Drama, Comedy",,97607.0,tt2139919,en,Gimme the Loot,"When their latest work is buffed by a rival crew, two determined graffiti writers embark on an elaborate plan to bomb the ultimate location: the New York Mets' Home Run Apple.",2.158,/fsNWyUVWskfrhLhOjtUSYjWfJh7.jpg,"Seven For Ten, Soda Pictures",United States of America,2012-10-12,97768.0,79.0,English,Released,,Gimme the Loot,False,6.2,31.0,10.0,2012.0,Adam Leon
Girl Fight,,3.4,25122,Stephen Gyllenhaal,,90.0,63.0,12.0,,,,girlfight,stephengyllenhaal,False,/fEtgzpmGhc9XZnXU1tatXWVJKZs.jpg,,0.0,"Drama, TV Movie",,108251.0,tt1956502,en,Girl Fight,"Inspired by a true story, Girl Fight recounts the harrowing story of a 16-year-old, stellar high school student whose life spirals downward when her former friends conspire to upload onto the Internet a shocking video of them beating her up.",3.217,/2Ut0II3UlSrkrexUfffjUmHSNod.jpg,"Media Nation, Front Street Pictures, Lifetime","Canada, United States of America",2011-10-03,0.0,90.0,English,Released,,Girl Fight,False,6.3,35.0,10.0,2011.0,Stephen Gyllenhaal
Girl in Progress,,2.8,189596,Patricia Riggen,,93.0,131.0,12.0,,,,girlinprogress,patriciariggen,False,/lTNQ8jEtmuuRrFJ1ZzfWd5xIem4.jpg,,5000000.0,"Comedy, Drama",http://www.girlinprogressmovie.com/,82618.0,tt1817676,en,Girl in Progress,"As single mom Grace juggles work, bills, and her affair with a married doctor, her daughter, Ansiedad, plots a shortcut to adulthood after finding inspiration in the coming-of-age stories she's reading for school.",11.685,/rGBR6H7fT7c2DtG0uhwHXAMANab.jpg,Pantelion Films,United States of America,2012-05-11,4709246.0,93.0,"Español, English",Released,"A tale of acting up, acting out, and acting your age.",Girl in Progress,False,5.6,112.0,5.0,2012.0,Patricia Riggen
Girls Trip,,3.0,227413,Malcolm D. Lee,2017-12-13,122.0,659.0,69.0,,12.0,2017.0,girlstrip,malcolmdlee,False,/nWKOp57cAzdgGXZ2BN5AElVfujN.jpg,Girls Trip Collection,19000000.0,Comedy,https://www.uphe.com/movies/girls-trip,417870.0,tt3564472,en,Girls Trip,"Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.",15.929,/fM1h8CwtdileV3zlemXx7UWJjOP.jpg,"Will Packer Productions, Universal Pictures",United States of America,2017-07-21,140376621.0,122.0,English,Released,Forgive us in advance for this wild weekend,Girls Trip,False,6.8,1440.0,7.0,2017.0,Malcolm D. Lee
Girl Vs. Monster,,2.3,224338,Stuart Gillard,2020-03-24,89.0,51.0,9.0,,3.0,2020.0,girlvsmonster,stuartgillard,False,/lM8PfMK1sgLPUkznjaqP0NupPKS.jpg,,0.0,"Family, Comedy, Science Fiction, TV Movie",,138038.0,tt2326087,en,Girl vs. Monster,Skylar finds out that her parents are monster hunters after she accidentally releases some monsters from a secret containment chamber; so she and her techno friends must recapture all the monsters and also save her mom and dad from these monsters who are out for revenge.,18.119,/9CMRe7lE9bZxgz9cEwkPHmF8yc3.jpg,"Bad Angels Productions, Ltd.","Canada, United States of America",2012-10-12,0.0,89.0,English,Released,Face Your Fears,Girl vs. Monster,False,6.3,258.0,10.0,2012.0,Stuart Gillard
Give Me Liberty,3.6,3.4,270096,Kirill Mikhanovsky,2019-07-24,111.0,376.0,55.0,21.0,7.0,2019.0,givemeliberty,kirillmikhanovsky,False,/1PkYoTgQl2kYFw6p5kGeBpxKWDj.jpg,,0.0,"Comedy, Drama",,565720.0,tt4169146,en,Give Me Liberty,"When a riot breaks out in Milwaukee, America's most segregated city, medical transport driver Vic is torn between his promise to get a group of elderly Russians to a funeral and his desire to help Tracy, a young black woman with ALS.",6.202,/dua9PHGjGE8dmnYyp6CyfFUbO0Y.jpg,Give Me Liberty Productions,United States of America,2019-07-24,0.0,110.0,"English, Pусский",Released,,Give Me Liberty,False,6.5,54.0,7.0,2019.0,Kirill Mikhanovsky
Glass,3.6,3.5,253849,M. Night Shyamalan,2019-01-16,130.0,9874.0,714.0,31.0,1.0,2019.0,glass,mnightshyamalan,False,/ngBFDOsx13sFXiMweDoL54XYknR.jpg,,20000000.0,"Thriller, Drama, Science Fiction",https://www.glassmovie.com,450465.0,tt6823368,en,Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",57.087,/svIDTNUoajS8dLEo7EosxvyAsgJ.jpg,"Universal Pictures, Buena Vista International, Perfect World Pictures, Blinding Edge Pictures, Blumhouse Productions",United States of America,2019-01-16,247000000.0,129.0,"English, Español",Released,You Cannot Contain What You Are,Glass,False,6.678,7901.0,1.0,2019.0,M. Night Shyamalan
Gloria Bell,3.6,2.7,256326,Sebastián Lelio,2019-05-01,101.0,689.0,91.0,30.0,5.0,2019.0,gloriabell,sebastianlelio,False,/547fjELV7imMeSJrmkK2FeVHjvf.jpg,,0.0,"Drama, Romance",https://a24films.com/films/gloria-bell,491473.0,tt6902696,en,Gloria Bell,"Gloria is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity, and family.",11.448,/oTfAWQXUceUszmifA4AwkIsDccQ.jpg,"FilmNation Entertainment, Fabula, Stage 6 Films","Chile, United States of America",2019-03-07,11145006.0,102.0,English,Released,Love. Life.,Gloria Bell,False,5.9,292.0,3.0,2019.0,Sebastián Lelio
Goats,,3.0,187279,Christopher Neil,,94.0,17.0,5.0,,,,goats,christopherneil,False,/gWfv4i7xqgLoAE7eefyn6WDnml9.jpg,,3000000.0,Comedy,,84203.0,tt1577052,en,Goats,"Having a self-absorbed New Age mother and an estranged father has meant 15-year-old Ellis Whitman has grown up relying on an unconventional guardian: a goat-trekking, marijuana-growing sage called 'Goat Man'. When Ellis decides to leave the alternative ways of his desert homestead for a stuffy East Coast prep school, major changes are in store.",6.485,/sguv1tnaQjFWsbcpN0b08cWmsFJ.jpg,"Red Crown Productions, Sandia Media",United States of America,2012-08-10,0.0,92.0,English,Released,You can't choose your family...or can you?,Goats,False,5.444,89.0,8.0,2012.0,Christopher Neil
God Bless America,3.1,4.0,191623,Bobcat Goldthwait,2012-10-10,100.0,3151.0,408.0,24.0,10.0,2012.0,godblessamerica,bobcatgoldthwait,False,/acIAN5ID5eWOd9zg0cvy08d6ubA.jpg,,0.0,"Comedy, Drama",http://www.magnetreleasing.com/godblessamerica/,74306.0,tt1912398,en,God Bless America,"Fed up with the cruelty and stupidity of American culture, an unlikely duo goes on a killing spree, killing reality TV stars, bigots and others they find repugnant.",11.616,/jEyiGve8BLOCvi8R2tL8H52aLp4.jpg,"Darko Entertainment, Jerkschool Productions",United States of America,2012-05-11,0.0,104.0,English,Released,"Taking out the trash, one jerk at a time.",God Bless America,False,7.009,870.0,5.0,2012.0,Bobcat Goldthwait
God's Not Dead,,2.7,226390,Harold Cronk,2017-09-20,113.0,192.0,51.0,,9.0,2017.0,godsnotdead,haroldcronk,False,/oNBfVxAKOB41RrrFYAQ68oeY4hF.jpg,God's Not Dead Collection,17000000.0,Drama,http://www.godsnotdead.com,249660.0,tt2528814,en,God's Not Dead,"After he refuses to disavow his faith, a devout Christian student must prove the existence of God or else his college philosophy professor will fail him.",21.321,/yKUzBolWrwyByevBtDPfy3kIumv.jpg,"Pure Flix Entertainment, Greg Jenkins Productions, Red Entertainment Group",United States of America,2014-03-21,29789000.0,113.0,English,Released,What do you believe?,God's Not Dead,False,6.049,844.0,3.0,2014.0,Harold Cronk
God’s Not Dead 2,,1.8,239058,Harold Cronk,2021-09-09,120.0,34.0,6.0,,9.0,2021.0,godsnotdead2,haroldcronk,False,/j1X0A0tDagEdtG1vmOjvT5hTf82.jpg,God's Not Dead Collection,5000000.0,"Drama, Fantasy",http://www.godsnotdead.com/,347126.0,tt4824308,en,God's Not Dead 2,"When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all.",21.76,/l0Di5mvlFhIxTn8VPGhcrYE0MCT.jpg,Pure Flix Entertainment,United States of America,2016-04-01,23507567.0,121.0,English,Released,,God's Not Dead 2,False,6.1,377.0,4.0,2016.0,Harold Cronk
Gods Of Egypt,1.8,2.4,207730,Alex Proyas,2016-04-06,128.0,3906.0,389.0,8.0,4.0,2016.0,godsofegypt,alexproyas,False,/bF9k4L3E93fHESs55zcyvxG5qZH.jpg,,140000000.0,"Action, Adventure, Fantasy",,205584.0,tt2404233,en,Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,39.25,/hzH7fwaTyQNITLo40Hu3R7cVMqv.jpg,"Thunder Road, Pyramania, Summit Entertainment, Mystery Clock Cinema, TIK Films, Lionsgate, Fin Design & Effects","Australia, Hong Kong, United States of America",2016-02-25,150680864.0,127.0,English,Released,The battle for eternity begins,Gods of Egypt,False,5.643,3867.0,2.0,2016.0,Alex Proyas
God's Pocket,,2.5,225930,John Slattery,2015-05-05,89.0,124.0,19.0,,5.0,2015.0,godspocket,johnslattery,False,/kncNEWenrMU3o53kMcPr4pGuI7p.jpg,,0.0,Drama,,244517.0,tt2920808,en,God's Pocket,"A boozy lowlife tries to bury the truth about his crazy stepson's suspicious death, but a nosy newspaper columnist and the young man's mother complicate matters.",10.892,/azFv1ribl8bW0i9bU2DricoaHnd.jpg,"Shoestring Pictures, Park Pictures Features, Cooper's Town Productions",United States of America,2014-05-09,169976.0,88.0,English,Released,The only thing they can't forgive is not being from ... God's Pocket,God's Pocket,False,5.8,177.0,5.0,2014.0,John Slattery
Godzilla: King of the Monsters,2.5,2.6,228997,Michael Dougherty,2019-05-29,132.0,5268.0,479.0,15.0,5.0,2019.0,godzillakingofthemonsters,michaeldougherty,False,/uovH5k4BAEPqXqxgwVrTtqH169g.jpg,Godzilla Collection,170000000.0,"Science Fiction, Action",http://www.godzillamovie.com,373571.0,tt3741700,en,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",125.697,/fQ40gmFM4p03tXwMxQQKh2cCBW4.jpg,"Legendary Pictures, Huahua Media, TOHO","China, Japan, United States of America",2019-05-29,386600138.0,132.0,"普通话, English, 日本語",Released,Long live the king.,Godzilla: King of the Monsters,False,6.68,5614.0,5.0,2019.0,Michael Dougherty
Go For It!,,1.8,190717,Carmen Marron,2012-05-02,105.0,65.0,7.0,,5.0,2012.0,goforit,carmenmarron,False,/nQmIxKN6OoCqRMPXrqoiKvd8GfO.jpg,,2450000.0,"Drama, Family",http://www.goforitmovie.com/,61038.0,tt1307926,en,Go for It!,"Carmen is a good student with a bad attitude who lives for dancing in the underground clubs of Chicago. She yearns to be 'somebody' but is afraid to believe in herself. Her immigrant Mexican, working-class parents want her to stay in school and get an education, so she attends junior college while working at a grocery store. Carmen's professor catches her performing one day in the neighborhood and challenges her to audition to a formal dance school in California. She gets into a fight with her chaotic family and runs away to her best friend Gina's place only to find out Gina's been getting beat up by her boyfriend. Meanwhile, Carmen's boyfriend, Jared wants her to commit and move in with him. Pulled apart in every direction, her dream of dancing fades. Can Carmen overcome her fears and take the biggest chance of her life, or will she succumb to her self-doubt?",1.891,/otMNSW5NH26XGVR7Y4Ok6YlsReR.jpg,Pantelion Films,United States of America,2011-05-13,0.0,105.0,English,Released,,Go for It!,False,5.0,15.0,5.0,2011.0,Carmen Marrón
Going In Style,3.0,3.3,233405,Zach Braff,2017-05-03,96.0,3147.0,210.0,19.0,5.0,2017.0,goinginstyle,zachbraff,False,/y6tKHt7iwcYwqckk3iOZV0vWKRM.jpg,,25000000.0,"Crime, Comedy",,353070.0,tt2568862,en,Going in Style,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",54.809,/4nfWsdsJfO5srRZgxiWC9xHub0W.jpg,"Village Roadshow Pictures, New Line Cinema, De Line Pictures, RatPac Entertainment",United States of America,2017-04-06,84618541.0,96.0,English,Released,You're never too old to get even.,Going in Style,False,6.696,2611.0,4.0,2017.0,Zach Braff
Going The Distance,3.3,3.0,145107,Nanette Burstein,2010-09-29,101.0,1732.0,256.0,14.0,9.0,2010.0,goingthedistance,nanetteburstein,False,/yIG329hXOMJq1O1O2ubd9xoweHm.jpg,,32000000.0,"Comedy, Drama, Romance",http://going-the-distance.warnerbros.com/,38073.0,tt1322312,en,Going the Distance,"Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",12.086,/tTllmSew3nsizpzWNWKUkOuANhm.jpg,"New Line Cinema, Offspring Entertainment",United States of America,2010-08-27,42045846.0,102.0,English,Released,A comedy about meeting each other halfway.,Going the Distance,False,6.069,690.0,8.0,2010.0,Nanette Burstein
